dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 16384
codebook_dim: 16
z_channels: 256
factor: 16
sigma: 0.8
gamma_1: 0.2
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_multiscale: False
fold_token: False
use_pq: True
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_16384_16_16
loss_pre: loss_0.2_0.1
training_pre: wasserstein_vq_substitution_1_False_False_True
saver_name_pre: wasserstein_vq_substitution_1_False_False_True_ImageNet_256_model_16384_16_16_loss_0.2_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
Train Epoch: [1/1] Iters:[860/20018] vq_loss 0.2503, rec_loss 0.0461, wasserstein_loss 0.0747, quant_error 0.2353, codebook_utilization 0.5927, codebook_perplexity 8184.4681,
Train Epoch: [1/1] Iters:[870/20018] vq_loss 0.2502, rec_loss 0.0460, wasserstein_loss 0.0724, quant_error 0.2353, codebook_utilization 0.5938, codebook_perplexity 8192.7247,
Train Epoch: [1/1] Iters:[880/20018] vq_loss 0.2499, rec_loss 0.0461, wasserstein_loss 0.0727, quant_error 0.2351, codebook_utilization 0.5944, codebook_perplexity 8224.0468,
Train Epoch: [1/1] Iters:[890/20018] vq_loss 0.2492, rec_loss 0.0458, wasserstein_loss 0.0726, quant_error 0.2339, codebook_utilization 0.5938, codebook_perplexity 8203.2568,
Train Epoch: [1/1] Iters:[900/20018] vq_loss 0.2506, rec_loss 0.0465, wasserstein_loss 0.0729, quant_error 0.2356, codebook_utilization 0.5953, codebook_perplexity 8259.1913,
Train Epoch: [1/1] Iters:[910/20018] vq_loss 0.2515, rec_loss 0.0468, wasserstein_loss 0.0747, quant_error 0.2363, codebook_utilization 0.5955, codebook_perplexity 8275.0929,
Train Epoch: [1/1] Iters:[920/20018] vq_loss 0.2530, rec_loss 0.0469, wasserstein_loss 0.0775, quant_error 0.2373, codebook_utilization 0.5951, codebook_perplexity 8271.4252,
Train Epoch: [1/1] Iters:[930/20018] vq_loss 0.2523, rec_loss 0.0467, wasserstein_loss 0.0744, quant_error 0.2370, codebook_utilization 0.5944, codebook_perplexity 8240.8629,
Train Epoch: [1/1] Iters:[940/20018] vq_loss 0.2538, rec_loss 0.0470, wasserstein_loss 0.0767, quant_error 0.2383, codebook_utilization 0.5949, codebook_perplexity 8247.2778,
Train Epoch: [1/1] Iters:[950/20018] vq_loss 0.2522, rec_loss 0.0463, wasserstein_loss 0.0745, quant_error 0.2368, codebook_utilization 0.5944, codebook_perplexity 8247.0705,
Train Epoch: [1/1] Iters:[960/20018] vq_loss 0.2521, rec_loss 0.0462, wasserstein_loss 0.0695, quant_error 0.2375, codebook_utilization 0.5950, codebook_perplexity 8262.6879,
Train Epoch: [1/1] Iters:[970/20018] vq_loss 0.2495, rec_loss 0.0463, wasserstein_loss 0.0671, quant_error 0.2353, codebook_utilization 0.5956, codebook_perplexity 8297.5286,
Train Epoch: [1/1] Iters:[980/20018] vq_loss 0.2493, rec_loss 0.0466, wasserstein_loss 0.0673, quant_error 0.2352, codebook_utilization 0.5970, codebook_perplexity 8344.1753,
Train Epoch: [1/1] Iters:[990/20018] vq_loss 0.2468, rec_loss 0.0461, wasserstein_loss 0.0654, quant_error 0.2330, codebook_utilization 0.5970, codebook_perplexity 8347.2714,
