dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 16384
codebook_dim: 32
z_channels: 256
factor: 16
L: 4
beta: 0.1
gamma_1: 0.1
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_trick: False
use_multiscale: True
fold_token: False
add_projection: False
epochs: 4
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_16384_32_16
loss_pre: loss_0.1_0.1_0.1
training_pre: wasserstein_vq_substitution_4_False_True_False_False
saver_name_pre: wasserstein_vq_substitution_4_False_True_False_False_ImageNet_256_model_16384_32_16_loss_0.1_0.1_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
Train Epoch: [1/4] Iters:[710/20018] vq_loss 0.3726, rec_loss 0.0289, wasserstein_loss 0.0668, quant_error 0.2682, codebook_utilization 0.8052, codebook_perplexity 3844.3018,
Train Epoch: [1/4] Iters:[720/20018] vq_loss 0.3730, rec_loss 0.0292, wasserstein_loss 0.0652, quant_error 0.2686, codebook_utilization 0.8052, codebook_perplexity 3857.5861,
Train Epoch: [1/4] Iters:[730/20018] vq_loss 0.3709, rec_loss 0.0291, wasserstein_loss 0.0674, quant_error 0.2667, codebook_utilization 0.8041, codebook_perplexity 3849.0668,
Train Epoch: [1/4] Iters:[740/20018] vq_loss 0.3736, rec_loss 0.0292, wasserstein_loss 0.0635, quant_error 0.2690, codebook_utilization 0.8040, codebook_perplexity 3880.6803,
Train Epoch: [1/4] Iters:[750/20018] vq_loss 0.3736, rec_loss 0.0290, wasserstein_loss 0.0635, quant_error 0.2690, codebook_utilization 0.8027, codebook_perplexity 3863.6447,
Train Epoch: [1/4] Iters:[760/20018] vq_loss 0.3720, rec_loss 0.0287, wasserstein_loss 0.0648, quant_error 0.2675, codebook_utilization 0.8027, codebook_perplexity 3897.3054,
Train Epoch: [1/4] Iters:[770/20018] vq_loss 0.3672, rec_loss 0.0284, wasserstein_loss 0.0657, quant_error 0.2637, codebook_utilization 0.8025, codebook_perplexity 3899.5564,
Train Epoch: [1/4] Iters:[780/20018] vq_loss 0.3677, rec_loss 0.0285, wasserstein_loss 0.0607, quant_error 0.2645, codebook_utilization 0.8049, codebook_perplexity 4006.2981,
Train Epoch: [1/4] Iters:[790/20018] vq_loss 0.3691, rec_loss 0.0285, wasserstein_loss 0.0576, quant_error 0.2658, codebook_utilization 0.8056, codebook_perplexity 4067.5664,
Train Epoch: [1/4] Iters:[800/20018] vq_loss 0.3708, rec_loss 0.0286, wasserstein_loss 0.0605, quant_error 0.2668, codebook_utilization 0.8046, codebook_perplexity 4078.6502,
Train Epoch: [1/4] Iters:[810/20018] vq_loss 0.3740, rec_loss 0.0292, wasserstein_loss 0.0635, quant_error 0.2689, codebook_utilization 0.8034, codebook_perplexity 4069.7160,
Train Epoch: [1/4] Iters:[820/20018] vq_loss 0.3752, rec_loss 0.0291, wasserstein_loss 0.0685, quant_error 0.2692, codebook_utilization 0.8012, codebook_perplexity 4056.9367,
Train Epoch: [1/4] Iters:[830/20018] vq_loss 0.3734, rec_loss 0.0289, wasserstein_loss 0.0696, quant_error 0.2677, codebook_utilization 0.7998, codebook_perplexity 4001.2359,
Train Epoch: [1/4] Iters:[840/20018] vq_loss 0.3701, rec_loss 0.0288, wasserstein_loss 0.0700, quant_error 0.2650, codebook_utilization 0.8013, codebook_perplexity 4062.2502,
Train Epoch: [1/4] Iters:[850/20018] vq_loss 0.3665, rec_loss 0.0285, wasserstein_loss 0.0680, quant_error 0.2625, codebook_utilization 0.8018, codebook_perplexity 4090.1459,
Train Epoch: [1/4] Iters:[860/20018] vq_loss 0.3634, rec_loss 0.0283, wasserstein_loss 0.0673, quant_error 0.2601, codebook_utilization 0.8023, codebook_perplexity 4123.3681,
Train Epoch: [1/4] Iters:[870/20018] vq_loss 0.3623, rec_loss 0.0283, wasserstein_loss 0.0625, quant_error 0.2597, codebook_utilization 0.8037, codebook_perplexity 4162.0390,
Train Epoch: [1/4] Iters:[880/20018] vq_loss 0.3622, rec_loss 0.0283, wasserstein_loss 0.0617, quant_error 0.2597, codebook_utilization 0.8044, codebook_perplexity 4231.0125,
Train Epoch: [1/4] Iters:[890/20018] vq_loss 0.3591, rec_loss 0.0280, wasserstein_loss 0.0632, quant_error 0.2571, codebook_utilization 0.8028, codebook_perplexity 4203.2962,
Train Epoch: [1/4] Iters:[900/20018] vq_loss 0.3607, rec_loss 0.0284, wasserstein_loss 0.0597, quant_error 0.2585, codebook_utilization 0.8048, codebook_perplexity 4291.2771,
Train Epoch: [1/4] Iters:[910/20018] vq_loss 0.3609, rec_loss 0.0285, wasserstein_loss 0.0587, quant_error 0.2587, codebook_utilization 0.8047, codebook_perplexity 4318.4007,
Train Epoch: [1/4] Iters:[920/20018] vq_loss 0.3631, rec_loss 0.0285, wasserstein_loss 0.0609, quant_error 0.2601, codebook_utilization 0.8031, codebook_perplexity 4314.7016,
Train Epoch: [1/4] Iters:[930/20018] vq_loss 0.3627, rec_loss 0.0284, wasserstein_loss 0.0624, quant_error 0.2597, codebook_utilization 0.8010, codebook_perplexity 4282.6033,
Train Epoch: [1/4] Iters:[940/20018] vq_loss 0.3654, rec_loss 0.0286, wasserstein_loss 0.0647, quant_error 0.2616, codebook_utilization 0.8009, codebook_perplexity 4300.4792,
Train Epoch: [1/4] Iters:[950/20018] vq_loss 0.3635, rec_loss 0.0282, wasserstein_loss 0.0678, quant_error 0.2598, codebook_utilization 0.7992, codebook_perplexity 4282.9487,
Train Epoch: [1/4] Iters:[960/20018] vq_loss 0.3647, rec_loss 0.0280, wasserstein_loss 0.0663, quant_error 0.2608, codebook_utilization 0.7989, codebook_perplexity 4299.6522,
Train Epoch: [1/4] Iters:[970/20018] vq_loss 0.3610, rec_loss 0.0282, wasserstein_loss 0.0675, quant_error 0.2578, codebook_utilization 0.7990, codebook_perplexity 4337.9121,
Train Epoch: [1/4] Iters:[980/20018] vq_loss 0.3597, rec_loss 0.0286, wasserstein_loss 0.0634, quant_error 0.2572, codebook_utilization 0.8004, codebook_perplexity 4399.2473,
Train Epoch: [1/4] Iters:[990/20018] vq_loss 0.3557, rec_loss 0.0285, wasserstein_loss 0.0625, quant_error 0.2542, codebook_utilization 0.7997, codebook_perplexity 4413.7529,
