dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
z_channels: 256
factor: 16
sigma: 0.8
gamma_1: 0.5
gamma_2: 0.1
lambd: 0.2
VQ: vanilla_vq
resume: False
use_multiscale: True
fold_token: False
use_pq: True
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_4096_16_16
loss_pre: loss_0.5_0.1
training_pre: vanilla_vq_substitution_1_True_False_True
saver_name_pre: vanilla_vq_substitution_1_True_False_True_ImageNet_256_model_4096_16_16_loss_0.5_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.001000
Train Epoch: [1/1] Iters:[1010/20018] vq_loss 0.4900, rec_loss 0.0335, quant_error 0.2617, codebook_utilization 0.2721, codebook_perplexity 270.8214,
Train Epoch: [1/1] Iters:[1020/20018] vq_loss 0.4915, rec_loss 0.0334, quant_error 0.2618, codebook_utilization 0.2736, codebook_perplexity 268.1032,
Train Epoch: [1/1] Iters:[1030/20018] vq_loss 0.4926, rec_loss 0.0331, quant_error 0.2618, codebook_utilization 0.2744, codebook_perplexity 265.4019,
Train Epoch: [1/1] Iters:[1040/20018] vq_loss 0.4941, rec_loss 0.0332, quant_error 0.2621, codebook_utilization 0.2755, codebook_perplexity 264.4569,
Train Epoch: [1/1] Iters:[1050/20018] vq_loss 0.4934, rec_loss 0.0330, quant_error 0.2614, codebook_utilization 0.2742, codebook_perplexity 265.4571,
Train Epoch: [1/1] Iters:[1060/20018] vq_loss 0.4933, rec_loss 0.0329, quant_error 0.2608, codebook_utilization 0.2738, codebook_perplexity 268.5060,
Train Epoch: [1/1] Iters:[1070/20018] vq_loss 0.4920, rec_loss 0.0326, quant_error 0.2597, codebook_utilization 0.2710, codebook_perplexity 270.3075,
Train Epoch: [1/1] Iters:[1080/20018] vq_loss 0.4940, rec_loss 0.0327, quant_error 0.2602, codebook_utilization 0.2722, codebook_perplexity 274.0474,
Train Epoch: [1/1] Iters:[1090/20018] vq_loss 0.4949, rec_loss 0.0328, quant_error 0.2600, codebook_utilization 0.2745, codebook_perplexity 276.5248,
Train Epoch: [1/1] Iters:[1100/20018] vq_loss 0.4965, rec_loss 0.0328, quant_error 0.2601, codebook_utilization 0.2765, codebook_perplexity 276.8455,
Train Epoch: [1/1] Iters:[1110/20018] vq_loss 0.4944, rec_loss 0.0327, quant_error 0.2585, codebook_utilization 0.2745, codebook_perplexity 274.0787,
Train Epoch: [1/1] Iters:[1120/20018] vq_loss 0.4974, rec_loss 0.0330, quant_error 0.2595, codebook_utilization 0.2761, codebook_perplexity 272.2892,
