dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
z_channels: 256
factor: 16
sigma: 0.5
gamma_1: 0.2
gamma_2: 0.2
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_multiscale: True
use_pq: False
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
iterations: 1000
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
data_pre: ImageNet_256
model_pre: model_4096_32_16
loss_pre: loss_0.2
training_pre: wasserstein_vq_substitution_1_True
saver_name_pre: wasserstein_vq_substitution_1_True_ImageNet_256_model_4096_32_16_loss_0.2
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
Train Epoch: [1/1] Iters:[920/20018] vq_loss 0.4757, rec_loss 0.0450, wasserstein_loss 0.0489, quant_error 0.3492, codebook_utilization 0.9998, codebook_perplexity 1657.7406,
Train Epoch: [1/1] Iters:[930/20018] vq_loss 0.4747, rec_loss 0.0447, wasserstein_loss 0.0492, quant_error 0.3482, codebook_utilization 0.9998, codebook_perplexity 1651.2170,
Train Epoch: [1/1] Iters:[940/20018] vq_loss 0.4773, rec_loss 0.0451, wasserstein_loss 0.0512, quant_error 0.3502, codebook_utilization 0.9998, codebook_perplexity 1646.6098,
Train Epoch: [1/1] Iters:[950/20018] vq_loss 0.4742, rec_loss 0.0443, wasserstein_loss 0.0528, quant_error 0.3470, codebook_utilization 0.9998, codebook_perplexity 1630.3637,
Train Epoch: [1/1] Iters:[960/20018] vq_loss 0.4750, rec_loss 0.0439, wasserstein_loss 0.0514, quant_error 0.3479, codebook_utilization 0.9998, codebook_perplexity 1636.4523,
Train Epoch: [1/1] Iters:[970/20018] vq_loss 0.4711, rec_loss 0.0438, wasserstein_loss 0.0502, quant_error 0.3444, codebook_utilization 0.9997, codebook_perplexity 1656.5034,
Train Epoch: [1/1] Iters:[980/20018] vq_loss 0.4702, rec_loss 0.0443, wasserstein_loss 0.0492, quant_error 0.3438, codebook_utilization 0.9998, codebook_perplexity 1673.0708,
Train Epoch: [1/1] Iters:[990/20018] vq_loss 0.4661, rec_loss 0.0438, wasserstein_loss 0.0494, quant_error 0.3399, codebook_utilization 0.9998, codebook_perplexity 1664.0984,
Train Epoch: [1/1] Iters:[1000/20018] vq_loss 0.4692, rec_loss 0.0444, wasserstein_loss 0.0488, quant_error 0.3425, codebook_utilization 0.9998, codebook_perplexity 1687.8575,
Train Epoch: [1/1] Iters:[1010/20018] vq_loss 0.4683, rec_loss 0.0441, wasserstein_loss 0.0501, quant_error 0.3411, codebook_utilization 0.9998, codebook_perplexity 1676.5560,
