Train Epoch: [1/5] Iters:[450/20018] gen_loss 0.2880, rec_loss 0.0301, lpips_loss 0.2579, g_loss -0.0306, disc_weight 0.0000, disc_adaptive_weight 2.6657, codebook_loss 0.6047, utilization 0.2021, perplexity 11956.7302, d_loss 0.0000, logits_real 0.0298, logits_fake 0.0300,
Train Epoch: [1/5] Iters:[460/20018] gen_loss 0.2871, rec_loss 0.0302, lpips_loss 0.2568, g_loss -0.0315, disc_weight 0.0000, disc_adaptive_weight 2.8022, codebook_loss 0.6033, utilization 0.2019, perplexity 11913.6886, d_loss 0.0000, logits_real 0.0299, logits_fake 0.0301,
Train Epoch: [1/5] Iters:[470/20018] gen_loss 0.2894, rec_loss 0.0304, lpips_loss 0.2590, g_loss -0.0317, disc_weight 0.0000, disc_adaptive_weight 2.8909, codebook_loss 0.6052, utilization 0.2022, perplexity 11947.7467, d_loss 0.0000, logits_real 0.0302, logits_fake 0.0303,
Train Epoch: [1/5] Iters:[480/20018] gen_loss 0.2899, rec_loss 0.0305, lpips_loss 0.2594, g_loss -0.0302, disc_weight 0.0000, disc_adaptive_weight 2.9027, codebook_loss 0.6037, utilization 0.2025, perplexity 11979.6240, d_loss 0.0000, logits_real 0.0284, logits_fake 0.0296,
Train Epoch: [1/5] Iters:[490/20018] gen_loss 0.2884, rec_loss 0.0300, lpips_loss 0.2584, g_loss -0.0307, disc_weight 0.0000, disc_adaptive_weight 2.8828, codebook_loss 0.6015, utilization 0.2024, perplexity 11942.5920, d_loss 0.0000, logits_real 0.0280, logits_fake 0.0304,
Train Epoch: [1/5] Iters:[500/20018] gen_loss 0.2884, rec_loss 0.0302, lpips_loss 0.2582, g_loss -0.0320, disc_weight 0.0000, disc_adaptive_weight 2.6914, codebook_loss 0.6021, utilization 0.2024, perplexity 11939.0919, d_loss 0.0000, logits_real 0.0305, logits_fake 0.0325,
Train Epoch: [1/5] Iters:[510/20018] gen_loss 0.2895, rec_loss 0.0303, lpips_loss 0.2591, g_loss -0.0324, disc_weight 0.0000, disc_adaptive_weight 2.7400, codebook_loss 0.6049, utilization 0.2025, perplexity 11957.6384, d_loss 0.0000, logits_real 0.0321, logits_fake 0.0339,
Train Epoch: [1/5] Iters:[520/20018] gen_loss 0.2873, rec_loss 0.0304, lpips_loss 0.2569, g_loss -0.0340, disc_weight 0.0000, disc_adaptive_weight 2.7094, codebook_loss 0.5995, utilization 0.2021, perplexity 11910.0726, d_loss 0.0000, logits_real 0.0323, logits_fake 0.0359,
Train Epoch: [1/5] Iters:[530/20018] gen_loss 0.2873, rec_loss 0.0305, lpips_loss 0.2567, g_loss -0.0343, disc_weight 0.0000, disc_adaptive_weight 2.8026, codebook_loss 0.5984, utilization 0.2020, perplexity 11904.2815, d_loss 0.0000, logits_real 0.0327, logits_fake 0.0356,
Train Epoch: [1/5] Iters:[540/20018] gen_loss 0.2880, rec_loss 0.0310, lpips_loss 0.2570, g_loss -0.0349, disc_weight 0.0000, disc_adaptive_weight 2.8497, codebook_loss 0.5989, utilization 0.2021, perplexity 11912.1293, d_loss 0.0000, logits_real 0.0336, logits_fake 0.0361,
