Train Epoch: [1/5] Iters:[690/40036] gen_loss 0.5477, rec_loss 0.0678, lpips_loss 0.4799, g_loss 0.2179, disc_weight 0.0000, disc_adaptive_weight 3.7870, codebook_loss 0.6591, utilization 0.0018, perplexity 20.3908, d_loss 0.0000, logits_real -0.2098, logits_fake -0.2157,
Train Epoch: [1/5] Iters:[700/40036] gen_loss 0.5473, rec_loss 0.0681, lpips_loss 0.4793, g_loss 0.2152, disc_weight 0.0000, disc_adaptive_weight 3.7412, codebook_loss 0.6539, utilization 0.0018, perplexity 20.3269, d_loss 0.0000, logits_real -0.2094, logits_fake -0.2136,
Train Epoch: [1/5] Iters:[710/40036] gen_loss 0.5476, rec_loss 0.0672, lpips_loss 0.4804, g_loss 0.2148, disc_weight 0.0000, disc_adaptive_weight 3.7450, codebook_loss 0.6551, utilization 0.0018, perplexity 20.3591, d_loss 0.0000, logits_real -0.2090, logits_fake -0.2128,
Train Epoch: [1/5] Iters:[720/40036] gen_loss 0.5495, rec_loss 0.0678, lpips_loss 0.4817, g_loss 0.2136, disc_weight 0.0000, disc_adaptive_weight 3.8752, codebook_loss 0.6516, utilization 0.0018, perplexity 20.2227, d_loss 0.0000, logits_real -0.2067, logits_fake -0.2135,
Train Epoch: [1/5] Iters:[730/40036] gen_loss 0.5488, rec_loss 0.0675, lpips_loss 0.4813, g_loss 0.2095, disc_weight 0.0000, disc_adaptive_weight 3.9019, codebook_loss 0.6496, utilization 0.0018, perplexity 20.0963, d_loss 0.0000, logits_real -0.2036, logits_fake -0.2103,
Train Epoch: [1/5] Iters:[740/40036] gen_loss 0.5470, rec_loss 0.0677, lpips_loss 0.4793, g_loss 0.2101, disc_weight 0.0000, disc_adaptive_weight 3.9444, codebook_loss 0.6539, utilization 0.0018, perplexity 20.2698, d_loss 0.0000, logits_real -0.2048, logits_fake -0.2100,
Train Epoch: [1/5] Iters:[750/40036] gen_loss 0.5477, rec_loss 0.0690, lpips_loss 0.4787, g_loss 0.2115, disc_weight 0.0000, disc_adaptive_weight 4.0861, codebook_loss 0.6675, utilization 0.0018, perplexity 20.3726, d_loss 0.0000, logits_real -0.2049, logits_fake -0.2119,
Train Epoch: [1/5] Iters:[760/40036] gen_loss 0.5470, rec_loss 0.0701, lpips_loss 0.4769, g_loss 0.2152, disc_weight 0.0000, disc_adaptive_weight 4.0583, codebook_loss 0.6737, utilization 0.0018, perplexity 20.5282, d_loss 0.0000, logits_real -0.2078, logits_fake -0.2161,
Train Epoch: [1/5] Iters:[770/40036] gen_loss 0.5489, rec_loss 0.0708, lpips_loss 0.4780, g_loss 0.2130, disc_weight 0.0000, disc_adaptive_weight 4.1571, codebook_loss 0.6705, utilization 0.0018, perplexity 20.6006, d_loss 0.0000, logits_real -0.2100, logits_fake -0.2122,
Train Epoch: [1/5] Iters:[780/40036] gen_loss 0.5495, rec_loss 0.0710, lpips_loss 0.4785, g_loss 0.2111, disc_weight 0.0000, disc_adaptive_weight 4.0715, codebook_loss 0.6655, utilization 0.0018, perplexity 20.4943, d_loss 0.0000, logits_real -0.2109, logits_fake -0.2104,
Train Epoch: [1/5] Iters:[790/40036] gen_loss 0.5477, rec_loss 0.0711, lpips_loss 0.4766, g_loss 0.2111, disc_weight 0.0000, disc_adaptive_weight 4.1837, codebook_loss 0.6729, utilization 0.0018, perplexity 20.6930, d_loss 0.0000, logits_real -0.2106, logits_fake -0.2099,
Train Epoch: [1/5] Iters:[800/40036] gen_loss 0.5449, rec_loss 0.0697, lpips_loss 0.4752, g_loss 0.2110, disc_weight 0.0000, disc_adaptive_weight 4.1491, codebook_loss 0.6658, utilization 0.0018, perplexity 20.5345, d_loss 0.0000, logits_real -0.2099, logits_fake -0.2090,
Train Epoch: [1/5] Iters:[810/40036] gen_loss 0.5428, rec_loss 0.0678, lpips_loss 0.4750, g_loss 0.2080, disc_weight 0.0000, disc_adaptive_weight 4.3759, codebook_loss 0.6599, utilization 0.0018, perplexity 20.3840, d_loss 0.0000, logits_real -0.2073, logits_fake -0.2075,
