Train Epoch: [1/5] Iters:[690/20018] gen_loss 0.3191, rec_loss 0.0332, lpips_loss 0.2858, g_loss 0.2123, disc_weight 0.0000, disc_adaptive_weight 2.9564, codebook_loss 0.1161, utilization 0.1238, perplexity 6240.7071, d_loss 0.0000, logits_real -0.2109, logits_fake -0.2149,
Train Epoch: [1/5] Iters:[700/20018] gen_loss 0.3189, rec_loss 0.0333, lpips_loss 0.2856, g_loss 0.2130, disc_weight 0.0000, disc_adaptive_weight 2.8583, codebook_loss 0.1159, utilization 0.1238, perplexity 6233.0534, d_loss 0.0000, logits_real -0.2086, logits_fake -0.2143,
Train Epoch: [1/5] Iters:[710/20018] gen_loss 0.3189, rec_loss 0.0335, lpips_loss 0.2855, g_loss 0.2124, disc_weight 0.0000, disc_adaptive_weight 2.7269, codebook_loss 0.1162, utilization 0.1238, perplexity 6242.5937, d_loss 0.0000, logits_real -0.2075, logits_fake -0.2127,
Train Epoch: [1/5] Iters:[720/20018] gen_loss 0.3178, rec_loss 0.0335, lpips_loss 0.2842, g_loss 0.2140, disc_weight 0.0000, disc_adaptive_weight 2.7813, codebook_loss 0.1159, utilization 0.1236, perplexity 6224.4551, d_loss 0.0000, logits_real -0.2062, logits_fake -0.2128,
Train Epoch: [1/5] Iters:[730/20018] gen_loss 0.3185, rec_loss 0.0338, lpips_loss 0.2847, g_loss 0.2133, disc_weight 0.0000, disc_adaptive_weight 2.8762, codebook_loss 0.1156, utilization 0.1235, perplexity 6228.7506, d_loss 0.0000, logits_real -0.2050, logits_fake -0.2129,
Train Epoch: [1/5] Iters:[740/20018] gen_loss 0.3198, rec_loss 0.0343, lpips_loss 0.2856, g_loss 0.2115, disc_weight 0.0000, disc_adaptive_weight 3.2149, codebook_loss 0.1163, utilization 0.1235, perplexity 6221.8344, d_loss 0.0000, logits_real -0.2047, logits_fake -0.2109,
Train Epoch: [1/5] Iters:[750/20018] gen_loss 0.3187, rec_loss 0.0340, lpips_loss 0.2847, g_loss 0.2128, disc_weight 0.0000, disc_adaptive_weight 3.5033, codebook_loss 0.1164, utilization 0.1235, perplexity 6208.6419, d_loss 0.0000, logits_real -0.2059, logits_fake -0.2114,
Train Epoch: [1/5] Iters:[760/20018] gen_loss 0.3189, rec_loss 0.0338, lpips_loss 0.2852, g_loss 0.2121, disc_weight 0.0000, disc_adaptive_weight 3.7539, codebook_loss 0.1159, utilization 0.1233, perplexity 6206.7599, d_loss 0.0000, logits_real -0.2074, logits_fake -0.2113,
Train Epoch: [1/5] Iters:[770/20018] gen_loss 0.3180, rec_loss 0.0335, lpips_loss 0.2845, g_loss 0.2110, disc_weight 0.0000, disc_adaptive_weight 3.7539, codebook_loss 0.1154, utilization 0.1232, perplexity 6177.1602, d_loss 0.0000, logits_real -0.2087, logits_fake -0.2101,
Train Epoch: [1/5] Iters:[780/20018] gen_loss 0.3172, rec_loss 0.0332, lpips_loss 0.2840, g_loss 0.2115, disc_weight 0.0000, disc_adaptive_weight 3.6174, codebook_loss 0.1157, utilization 0.1233, perplexity 6186.6311, d_loss 0.0000, logits_real -0.2100, logits_fake -0.2106,
Train Epoch: [1/5] Iters:[790/20018] gen_loss 0.3166, rec_loss 0.0330, lpips_loss 0.2836, g_loss 0.2106, disc_weight 0.0000, disc_adaptive_weight 3.1092, codebook_loss 0.1153, utilization 0.1235, perplexity 6207.3242, d_loss 0.0000, logits_real -0.2082, logits_fake -0.2097,
Train Epoch: [1/5] Iters:[800/20018] gen_loss 0.3177, rec_loss 0.0332, lpips_loss 0.2845, g_loss 0.2091, disc_weight 0.0000, disc_adaptive_weight 2.9720, codebook_loss 0.1148, utilization 0.1234, perplexity 6201.4825, d_loss 0.0000, logits_real -0.2090, logits_fake -0.2099,
