Train Epoch: [1/5] Iters:[890/20018] gen_loss 0.0154, rec_loss 0.0236, lpips_loss 0.2035, g_loss -0.0788, disc_weight 0.4000, disc_adaptive_weight 2.6944, d_loss 0.4386, logits_real 0.0795, logits_fake 0.0788,
Train Epoch: [1/5] Iters:[900/20018] gen_loss 0.0118, rec_loss 0.0242, lpips_loss 0.2054, g_loss -0.0784, disc_weight 0.4000, disc_adaptive_weight 2.7784, d_loss 0.4381, logits_real 0.0793, logits_fake 0.0786,
Train Epoch: [1/5] Iters:[910/20018] gen_loss 0.0049, rec_loss 0.0241, lpips_loss 0.2051, g_loss -0.0782, disc_weight 0.4000, disc_adaptive_weight 2.8720, d_loss 0.4368, logits_real 0.0788, logits_fake 0.0781,
Train Epoch: [1/5] Iters:[920/20018] gen_loss -0.0069, rec_loss 0.0240, lpips_loss 0.2033, g_loss -0.0777, disc_weight 0.4000, disc_adaptive_weight 3.0156, d_loss 0.4360, logits_real 0.0785, logits_fake 0.0777,
Train Epoch: [1/5] Iters:[930/20018] gen_loss -0.0049, rec_loss 0.0242, lpips_loss 0.2036, g_loss -0.0777, disc_weight 0.4000, disc_adaptive_weight 2.9955, d_loss 0.4355, logits_real 0.0781, logits_fake 0.0777,
Train Epoch: [1/5] Iters:[940/20018] gen_loss -0.0041, rec_loss 0.0241, lpips_loss 0.2034, g_loss -0.0777, disc_weight 0.4000, disc_adaptive_weight 2.9853, d_loss 0.4349, logits_real 0.0779, logits_fake 0.0779,
Train Epoch: [1/5] Iters:[950/20018] gen_loss 0.0011, rec_loss 0.0237, lpips_loss 0.2025, g_loss -0.0775, disc_weight 0.4000, disc_adaptive_weight 2.9098, d_loss 0.4339, logits_real 0.0774, logits_fake 0.0773,
Train Epoch: [1/5] Iters:[960/20018] gen_loss 0.0133, rec_loss 0.0238, lpips_loss 0.2034, g_loss -0.0771, disc_weight 0.4000, disc_adaptive_weight 2.7758, d_loss 0.4331, logits_real 0.0766, logits_fake 0.0768,
Train Epoch: [1/5] Iters:[970/20018] gen_loss 0.0269, rec_loss 0.0240, lpips_loss 0.2046, g_loss -0.0765, disc_weight 0.4000, disc_adaptive_weight 2.6363, d_loss 0.4323, logits_real 0.0761, logits_fake 0.0762,
Train Epoch: [1/5] Iters:[980/20018] gen_loss 0.0266, rec_loss 0.0239, lpips_loss 0.2044, g_loss -0.0757, disc_weight 0.4000, disc_adaptive_weight 2.6641, d_loss 0.4316, logits_real 0.0756, logits_fake 0.0755,
Train Epoch: [1/5] Iters:[990/20018] gen_loss 0.0209, rec_loss 0.0241, lpips_loss 0.2037, g_loss -0.0750, disc_weight 0.4000, disc_adaptive_weight 2.7705, d_loss 0.4311, logits_real 0.0748, logits_fake 0.0748,
Train Epoch: [1/5] Iters:[1000/20018] gen_loss 0.0299, rec_loss 0.0243, lpips_loss 0.2036, g_loss -0.0742, disc_weight 0.4000, disc_adaptive_weight 2.6738, d_loss 0.4305, logits_real 0.0742, logits_fake 0.0743,
Train Epoch: [1/5] Iters:[1010/20018] gen_loss 0.0204, rec_loss 0.0240, lpips_loss 0.2022, g_loss -0.0733, disc_weight 0.4000, disc_adaptive_weight 2.8124, d_loss 0.4295, logits_real 0.0736, logits_fake 0.0734,
