Train Epoch: [1/5] Iters:[1170/10009] transplant_loss 6.3319, rec_loss 0.0521, quant_error 0.4861,
Train Epoch: [1/5] Iters:[1180/10009] transplant_loss 6.3130, rec_loss 0.0520, quant_error 0.4843,
Train Epoch: [1/5] Iters:[1190/10009] transplant_loss 6.2884, rec_loss 0.0525, quant_error 0.4821,
Train Epoch: [1/5] Iters:[1200/10009] transplant_loss 6.2668, rec_loss 0.0520, quant_error 0.4802,
Train Epoch: [1/5] Iters:[1210/10009] transplant_loss 6.2562, rec_loss 0.0526, quant_error 0.4795,
Train Epoch: [1/5] Iters:[1220/10009] transplant_loss 6.2530, rec_loss 0.0532, quant_error 0.4792,
Train Epoch: [1/5] Iters:[1230/10009] transplant_loss 6.2589, rec_loss 0.0528, quant_error 0.4793,
Train Epoch: [1/5] Iters:[1240/10009] transplant_loss 6.2560, rec_loss 0.0530, quant_error 0.4790,
Train Epoch: [1/5] Iters:[1250/10009] transplant_loss 6.2669, rec_loss 0.0533, quant_error 0.4795,
Train Epoch: [1/5] Iters:[1260/10009] transplant_loss 6.2582, rec_loss 0.0531, quant_error 0.4784,
Train Epoch: [1/5] Iters:[1270/10009] transplant_loss 6.2604, rec_loss 0.0530, quant_error 0.4783,
Train Epoch: [1/5] Iters:[1280/10009] transplant_loss 6.2397, rec_loss 0.0529, quant_error 0.4766,
Train Epoch: [1/5] Iters:[1290/10009] transplant_loss 6.2247, rec_loss 0.0518, quant_error 0.4749,
Train Epoch: [1/5] Iters:[1300/10009] transplant_loss 6.2169, rec_loss 0.0517, quant_error 0.4744,
Train Epoch: [1/5] Iters:[1310/10009] transplant_loss 6.1985, rec_loss 0.0512, quant_error 0.4727,
Train Epoch: [1/5] Iters:[1320/10009] transplant_loss 6.1997, rec_loss 0.0511, quant_error 0.4725,
Train Epoch: [1/5] Iters:[1330/10009] transplant_loss 6.2146, rec_loss 0.0513, quant_error 0.4734,
Train Epoch: [1/5] Iters:[1340/10009] transplant_loss 6.2246, rec_loss 0.0516, quant_error 0.4740,
Train Epoch: [1/5] Iters:[1350/10009] transplant_loss 6.2276, rec_loss 0.0514, quant_error 0.4737,
Train Epoch: [1/5] Iters:[1360/10009] transplant_loss 6.2121, rec_loss 0.0517, quant_error 0.4723,
Train Epoch: [1/5] Iters:[1370/10009] transplant_loss 6.2202, rec_loss 0.0514, quant_error 0.4727,
Train Epoch: [1/5] Iters:[1380/10009] transplant_loss 6.2039, rec_loss 0.0519, quant_error 0.4713,
Train Epoch: [1/5] Iters:[1390/10009] transplant_loss 6.1964, rec_loss 0.0515, quant_error 0.4705,
Train Epoch: [1/5] Iters:[1400/10009] transplant_loss 6.1789, rec_loss 0.0515, quant_error 0.4689,
Train Epoch: [1/5] Iters:[1410/10009] transplant_loss 6.1816, rec_loss 0.0518, quant_error 0.4691,
Train Epoch: [1/5] Iters:[1420/10009] transplant_loss 6.1705, rec_loss 0.0526, quant_error 0.4681,
Train Epoch: [1/5] Iters:[1430/10009] transplant_loss 6.1849, rec_loss 0.0520, quant_error 0.4688,
Train Epoch: [1/5] Iters:[1440/10009] transplant_loss 6.1911, rec_loss 0.0525, quant_error 0.4691,
Train Epoch: [1/5] Iters:[1450/10009] transplant_loss 6.1975, rec_loss 0.0528, quant_error 0.4694,
Train Epoch: [1/5] Iters:[1460/10009] transplant_loss 6.2040, rec_loss 0.0529, quant_error 0.4697,
Train Epoch: [1/5] Iters:[1470/10009] transplant_loss 6.1864, rec_loss 0.0521, quant_error 0.4682,
Train Epoch: [1/5] Iters:[1480/10009] transplant_loss 6.1755, rec_loss 0.0525, quant_error 0.4672,
Train Epoch: [1/5] Iters:[1490/10009] transplant_loss 6.1593, rec_loss 0.0524, quant_error 0.4658,
Train Epoch: [1/5] Iters:[1500/10009] transplant_loss 6.1594, rec_loss 0.0525, quant_error 0.4656,
Train Epoch: [1/5] Iters:[1510/10009] transplant_loss 6.1570, rec_loss 0.0525, quant_error 0.4651,
Train Epoch: [1/5] Iters:[1520/10009] transplant_loss 6.1529, rec_loss 0.0530, quant_error 0.4647,
Train Epoch: [1/5] Iters:[1530/10009] transplant_loss 6.1574, rec_loss 0.0533, quant_error 0.4649,
Train Epoch: [1/5] Iters:[1540/10009] transplant_loss 6.1636, rec_loss 0.0528, quant_error 0.4651,
Train Epoch: [1/5] Iters:[1550/10009] transplant_loss 6.1432, rec_loss 0.0528, quant_error 0.4635,
Train Epoch: [1/5] Iters:[1560/10009] transplant_loss 6.1566, rec_loss 0.0525, quant_error 0.4641,
Train Epoch: [1/5] Iters:[1570/10009] transplant_loss 6.1412, rec_loss 0.0517, quant_error 0.4627,
Train Epoch: [1/5] Iters:[1580/10009] transplant_loss 6.1310, rec_loss 0.0513, quant_error 0.4617,
Train Epoch: [1/5] Iters:[1590/10009] transplant_loss 6.1137, rec_loss 0.0512, quant_error 0.4603,
Train Epoch: [1/5] Iters:[1600/10009] transplant_loss 6.1278, rec_loss 0.0516, quant_error 0.4611,
Train Epoch: [1/5] Iters:[1610/10009] transplant_loss 6.1039, rec_loss 0.0521, quant_error 0.4592,
Train Epoch: [1/5] Iters:[1620/10009] transplant_loss 6.1073, rec_loss 0.0525, quant_error 0.4593,
Train Epoch: [1/5] Iters:[1630/10009] transplant_loss 6.0782, rec_loss 0.0521, quant_error 0.4571,
Train Epoch: [1/5] Iters:[1640/10009] transplant_loss 6.0782, rec_loss 0.0528, quant_error 0.4568,
Train Epoch: [1/5] Iters:[1650/10009] transplant_loss 6.0670, rec_loss 0.0521, quant_error 0.4557,
Train Epoch: [1/5] Iters:[1660/10009] transplant_loss 6.0604, rec_loss 0.0513, quant_error 0.4551,
Train Epoch: [1/5] Iters:[1670/10009] transplant_loss 6.0924, rec_loss 0.0515, quant_error 0.4571,
Train Epoch: [1/5] Iters:[1680/10009] transplant_loss 6.0935, rec_loss 0.0514, quant_error 0.4569,
Train Epoch: [1/5] Iters:[1690/10009] transplant_loss 6.1102, rec_loss 0.0513, quant_error 0.4580,
Train Epoch: [1/5] Iters:[1700/10009] transplant_loss 6.0888, rec_loss 0.0512, quant_error 0.4562,
