Train Epoch: [1/2] Iters:[1550/20018] transplant_loss 5.1326, rec_loss 0.0539, quant_error 0.8676, utilization 0.0985, perplexity 4312.9897,
Train Epoch: [1/2] Iters:[1560/20018] transplant_loss 5.1218, rec_loss 0.0529, quant_error 0.8634, utilization 0.0987, perplexity 4327.9223,
Train Epoch: [1/2] Iters:[1570/20018] transplant_loss 5.1233, rec_loss 0.0526, quant_error 0.8629, utilization 0.0987, perplexity 4335.6162,
Train Epoch: [1/2] Iters:[1580/20018] transplant_loss 5.1168, rec_loss 0.0526, quant_error 0.8606, utilization 0.0987, perplexity 4340.2042,
Train Epoch: [1/2] Iters:[1590/20018] transplant_loss 5.1186, rec_loss 0.0525, quant_error 0.8624, utilization 0.0988, perplexity 4339.9339,
Train Epoch: [1/2] Iters:[1600/20018] transplant_loss 5.1255, rec_loss 0.0522, quant_error 0.8637, utilization 0.0990, perplexity 4345.5382,
Train Epoch: [1/2] Iters:[1610/20018] transplant_loss 5.1203, rec_loss 0.0524, quant_error 0.8625, utilization 0.0989, perplexity 4342.0854,
Train Epoch: [1/2] Iters:[1620/20018] transplant_loss 5.1186, rec_loss 0.0533, quant_error 0.8648, utilization 0.0991, perplexity 4351.2775,
Train Epoch: [1/2] Iters:[1630/20018] transplant_loss 5.1239, rec_loss 0.0529, quant_error 0.8640, utilization 0.0992, perplexity 4367.1290,
Train Epoch: [1/2] Iters:[1640/20018] transplant_loss 5.1222, rec_loss 0.0521, quant_error 0.8616, utilization 0.0991, perplexity 4363.6173,
Train Epoch: [1/2] Iters:[1650/20018] transplant_loss 5.1202, rec_loss 0.0524, quant_error 0.8609, utilization 0.0994, perplexity 4381.6021,
Train Epoch: [1/2] Iters:[1660/20018] transplant_loss 5.0979, rec_loss 0.0515, quant_error 0.8566, utilization 0.0992, perplexity 4366.5794,
Train Epoch: [1/2] Iters:[1670/20018] transplant_loss 5.1064, rec_loss 0.0510, quant_error 0.8568, utilization 0.0993, perplexity 4370.3944,
