Train Epoch: [1/2] Iters:[770/40036] transplant_loss 1.4951, rec_loss 0.0462, quant_error 0.4900, utilization 0.8435, perplexity 2121.6423,
Train Epoch: [1/2] Iters:[780/40036] transplant_loss 1.5052, rec_loss 0.0467, quant_error 0.4929, utilization 0.8440, perplexity 2130.8712,
Train Epoch: [1/2] Iters:[790/40036] transplant_loss 1.4954, rec_loss 0.0463, quant_error 0.4913, utilization 0.8436, perplexity 2120.8284,
Train Epoch: [1/2] Iters:[800/40036] transplant_loss 1.4856, rec_loss 0.0448, quant_error 0.4877, utilization 0.8430, perplexity 2116.5915,
Train Epoch: [1/2] Iters:[810/40036] transplant_loss 1.4793, rec_loss 0.0435, quant_error 0.4910, utilization 0.8434, perplexity 2118.8660,
Train Epoch: [1/2] Iters:[820/40036] transplant_loss 1.4833, rec_loss 0.0438, quant_error 0.4884, utilization 0.8437, perplexity 2125.5898,
Train Epoch: [1/2] Iters:[830/40036] transplant_loss 1.4799, rec_loss 0.0442, quant_error 0.4896, utilization 0.8434, perplexity 2126.1002,
Train Epoch: [1/2] Iters:[840/40036] transplant_loss 1.4784, rec_loss 0.0439, quant_error 0.4916, utilization 0.8411, perplexity 2117.7703,
Train Epoch: [1/2] Iters:[850/40036] transplant_loss 1.4873, rec_loss 0.0432, quant_error 0.4917, utilization 0.8430, perplexity 2130.3842,
Train Epoch: [1/2] Iters:[860/40036] transplant_loss 1.4889, rec_loss 0.0442, quant_error 0.4915, utilization 0.8417, perplexity 2124.9196,
Train Epoch: [1/2] Iters:[870/40036] transplant_loss 1.4910, rec_loss 0.0440, quant_error 0.4938, utilization 0.8414, perplexity 2123.0303,
Train Epoch: [1/2] Iters:[880/40036] transplant_loss 1.4882, rec_loss 0.0435, quant_error 0.4879, utilization 0.8413, perplexity 2124.5192,
Train Epoch: [1/2] Iters:[890/40036] transplant_loss 1.4887, rec_loss 0.0435, quant_error 0.4855, utilization 0.8428, perplexity 2133.7067,
Train Epoch: [1/2] Iters:[900/40036] transplant_loss 1.4863, rec_loss 0.0446, quant_error 0.4880, utilization 0.8413, perplexity 2125.7684,
Train Epoch: [1/2] Iters:[910/40036] transplant_loss 1.4904, rec_loss 0.0442, quant_error 0.4881, utilization 0.8422, perplexity 2128.7596,
Train Epoch: [1/2] Iters:[920/40036] transplant_loss 1.4698, rec_loss 0.0434, quant_error 0.4793, utilization 0.8415, perplexity 2126.7665,
Train Epoch: [1/2] Iters:[930/40036] transplant_loss 1.4757, rec_loss 0.0431, quant_error 0.4788, utilization 0.8422, perplexity 2127.9857,
Train Epoch: [1/2] Iters:[940/40036] transplant_loss 1.4772, rec_loss 0.0433, quant_error 0.4773, utilization 0.8424, perplexity 2134.1773,
Train Epoch: [1/2] Iters:[950/40036] transplant_loss 1.4806, rec_loss 0.0431, quant_error 0.4759, utilization 0.8443, perplexity 2149.7768,
Train Epoch: [1/2] Iters:[960/40036] transplant_loss 1.4667, rec_loss 0.0427, quant_error 0.4708, utilization 0.8435, perplexity 2147.4044,
Train Epoch: [1/2] Iters:[970/40036] transplant_loss 1.4670, rec_loss 0.0424, quant_error 0.4719, utilization 0.8433, perplexity 2140.6760,
Train Epoch: [1/2] Iters:[980/40036] transplant_loss 1.4545, rec_loss 0.0417, quant_error 0.4706, utilization 0.8423, perplexity 2136.6736,
Train Epoch: [1/2] Iters:[990/40036] transplant_loss 1.4613, rec_loss 0.0423, quant_error 0.4721, utilization 0.8442, perplexity 2144.7024,
Train Epoch: [1/2] Iters:[1000/40036] transplant_loss 1.4438, rec_loss 0.0412, quant_error 0.4674, utilization 0.8417, perplexity 2125.5644,
Train Epoch: [1/2] Iters:[1010/40036] transplant_loss 1.4486, rec_loss 0.0413, quant_error 0.4672, utilization 0.8428, perplexity 2132.1094,
Train Epoch: [1/2] Iters:[1020/40036] transplant_loss 1.4667, rec_loss 0.0424, quant_error 0.4711, utilization 0.8442, perplexity 2146.9982,
Train Epoch: [1/2] Iters:[1030/40036] transplant_loss 1.4648, rec_loss 0.0427, quant_error 0.4713, utilization 0.8444, perplexity 2148.2125,
Train Epoch: [1/2] Iters:[1040/40036] transplant_loss 1.4517, rec_loss 0.0424, quant_error 0.4669, utilization 0.8421, perplexity 2133.6170,
Train Epoch: [1/2] Iters:[1050/40036] transplant_loss 1.4556, rec_loss 0.0429, quant_error 0.4695, utilization 0.8418, perplexity 2139.1751,
Train Epoch: [1/2] Iters:[1060/40036] transplant_loss 1.4662, rec_loss 0.0441, quant_error 0.4736, utilization 0.8418, perplexity 2144.4807,
Train Epoch: [1/2] Iters:[1070/40036] transplant_loss 1.4597, rec_loss 0.0439, quant_error 0.4749, utilization 0.8411, perplexity 2138.2335,
Train Epoch: [1/2] Iters:[1080/40036] transplant_loss 1.4646, rec_loss 0.0443, quant_error 0.4772, utilization 0.8402, perplexity 2138.8012,
Train Epoch: [1/2] Iters:[1090/40036] transplant_loss 1.4630, rec_loss 0.0438, quant_error 0.4760, utilization 0.8408, perplexity 2145.8260,
Train Epoch: [1/2] Iters:[1100/40036] transplant_loss 1.4698, rec_loss 0.0444, quant_error 0.4749, utilization 0.8417, perplexity 2150.4158,
Train Epoch: [1/2] Iters:[1110/40036] transplant_loss 1.4541, rec_loss 0.0430, quant_error 0.4719, utilization 0.8402, perplexity 2137.8625,
Train Epoch: [1/2] Iters:[1120/40036] transplant_loss 1.4519, rec_loss 0.0430, quant_error 0.4711, utilization 0.8408, perplexity 2141.9770,
Train Epoch: [1/2] Iters:[1130/40036] transplant_loss 1.4509, rec_loss 0.0432, quant_error 0.4685, utilization 0.8419, perplexity 2144.5325,
Train Epoch: [1/2] Iters:[1140/40036] transplant_loss 1.4490, rec_loss 0.0428, quant_error 0.4727, utilization 0.8406, perplexity 2131.3016,
Train Epoch: [1/2] Iters:[1150/40036] transplant_loss 1.4561, rec_loss 0.0424, quant_error 0.4766, utilization 0.8423, perplexity 2138.9160,
Train Epoch: [1/2] Iters:[1160/40036] transplant_loss 1.4658, rec_loss 0.0424, quant_error 0.4767, utilization 0.8424, perplexity 2142.1628,
Train Epoch: [1/2] Iters:[1170/40036] transplant_loss 1.4604, rec_loss 0.0424, quant_error 0.4739, utilization 0.8415, perplexity 2138.2680,
Train Epoch: [1/2] Iters:[1180/40036] transplant_loss 1.4561, rec_loss 0.0422, quant_error 0.4720, utilization 0.8421, perplexity 2140.3707,
Train Epoch: [1/2] Iters:[1190/40036] transplant_loss 1.4643, rec_loss 0.0427, quant_error 0.4697, utilization 0.8444, perplexity 2157.5333,
Train Epoch: [1/2] Iters:[1200/40036] transplant_loss 1.4440, rec_loss 0.0418, quant_error 0.4638, utilization 0.8429, perplexity 2147.5695,
Train Epoch: [1/2] Iters:[1210/40036] transplant_loss 1.4359, rec_loss 0.0419, quant_error 0.4610, utilization 0.8438, perplexity 2152.7295,
Train Epoch: [1/2] Iters:[1220/40036] transplant_loss 1.4383, rec_loss 0.0414, quant_error 0.4608, utilization 0.8448, perplexity 2157.4708,
Train Epoch: [1/2] Iters:[1230/40036] transplant_loss 1.4330, rec_loss 0.0413, quant_error 0.4604, utilization 0.8446, perplexity 2158.6612,
Train Epoch: [1/2] Iters:[1240/40036] transplant_loss 1.4378, rec_loss 0.0414, quant_error 0.4615, utilization 0.8436, perplexity 2156.3519,
Train Epoch: [1/2] Iters:[1250/40036] transplant_loss 1.4437, rec_loss 0.0425, quant_error 0.4643, utilization 0.8421, perplexity 2149.2773,
Train Epoch: [1/2] Iters:[1260/40036] transplant_loss 1.4490, rec_loss 0.0420, quant_error 0.4660, utilization 0.8425, perplexity 2152.0124,
Train Epoch: [1/2] Iters:[1270/40036] transplant_loss 1.4405, rec_loss 0.0419, quant_error 0.4649, utilization 0.8406, perplexity 2140.5283,
Train Epoch: [1/2] Iters:[1280/40036] transplant_loss 1.4455, rec_loss 0.0414, quant_error 0.4647, utilization 0.8408, perplexity 2143.7175,
Train Epoch: [1/2] Iters:[1290/40036] transplant_loss 1.4407, rec_loss 0.0418, quant_error 0.4645, utilization 0.8405, perplexity 2142.8782,
Train Epoch: [1/2] Iters:[1300/40036] transplant_loss 1.4406, rec_loss 0.0412, quant_error 0.4633, utilization 0.8414, perplexity 2151.4425,
Train Epoch: [1/2] Iters:[1310/40036] transplant_loss 1.4370, rec_loss 0.0416, quant_error 0.4629, utilization 0.8417, perplexity 2151.2008,
Train Epoch: [1/2] Iters:[1320/40036] transplant_loss 1.4329, rec_loss 0.0413, quant_error 0.4613, utilization 0.8412, perplexity 2148.6292,
Train Epoch: [1/2] Iters:[1330/40036] transplant_loss 1.4404, rec_loss 0.0422, quant_error 0.4639, utilization 0.8402, perplexity 2144.9680,
Train Epoch: [1/2] Iters:[1340/40036] transplant_loss 1.4346, rec_loss 0.0410, quant_error 0.4661, utilization 0.8404, perplexity 2144.8780,
Train Epoch: [1/2] Iters:[1350/40036] transplant_loss 1.4264, rec_loss 0.0406, quant_error 0.4613, utilization 0.8404, perplexity 2142.5525,
Train Epoch: [1/2] Iters:[1360/40036] transplant_loss 1.4310, rec_loss 0.0408, quant_error 0.4612, utilization 0.8406, perplexity 2144.0001,
Train Epoch: [1/2] Iters:[1370/40036] transplant_loss 1.4408, rec_loss 0.0408, quant_error 0.4618, utilization 0.8425, perplexity 2158.3446,
Train Epoch: [1/2] Iters:[1380/40036] transplant_loss 1.4307, rec_loss 0.0405, quant_error 0.4599, utilization 0.8418, perplexity 2150.0860,
Train Epoch: [1/2] Iters:[1390/40036] transplant_loss 1.4368, rec_loss 0.0420, quant_error 0.4588, utilization 0.8404, perplexity 2148.3010,
Train Epoch: [1/2] Iters:[1400/40036] transplant_loss 1.4514, rec_loss 0.0426, quant_error 0.4645, utilization 0.8413, perplexity 2153.1693,
Train Epoch: [1/2] Iters:[1410/40036] transplant_loss 1.4487, rec_loss 0.0427, quant_error 0.4669, utilization 0.8387, perplexity 2144.9648,
Train Epoch: [1/2] Iters:[1420/40036] transplant_loss 1.4480, rec_loss 0.0428, quant_error 0.4677, utilization 0.8375, perplexity 2141.4286,
Train Epoch: [1/2] Iters:[1430/40036] transplant_loss 1.4539, rec_loss 0.0429, quant_error 0.4668, utilization 0.8379, perplexity 2147.3971,
Train Epoch: [1/2] Iters:[1440/40036] transplant_loss 1.4427, rec_loss 0.0419, quant_error 0.4633, utilization 0.8379, perplexity 2140.2335,
Train Epoch: [1/2] Iters:[1450/40036] transplant_loss 1.4325, rec_loss 0.0419, quant_error 0.4616, utilization 0.8362, perplexity 2135.0903,
Train Epoch: [1/2] Iters:[1460/40036] transplant_loss 1.4346, rec_loss 0.0423, quant_error 0.4596, utilization 0.8375, perplexity 2137.0793,
Train Epoch: [1/2] Iters:[1470/40036] transplant_loss 1.4349, rec_loss 0.0429, quant_error 0.4609, utilization 0.8376, perplexity 2137.6253,
Train Epoch: [1/2] Iters:[1480/40036] transplant_loss 1.4404, rec_loss 0.0432, quant_error 0.4627, utilization 0.8372, perplexity 2132.7572,
Train Epoch: [1/2] Iters:[1490/40036] transplant_loss 1.4454, rec_loss 0.0431, quant_error 0.4643, utilization 0.8379, perplexity 2139.3714,
Train Epoch: [1/2] Iters:[1500/40036] transplant_loss 1.4463, rec_loss 0.0428, quant_error 0.4620, utilization 0.8390, perplexity 2137.1644,
Train Epoch: [1/2] Iters:[1510/40036] transplant_loss 1.4420, rec_loss 0.0419, quant_error 0.4627, utilization 0.8389, perplexity 2140.4452,
Train Epoch: [1/2] Iters:[1520/40036] transplant_loss 1.4348, rec_loss 0.0410, quant_error 0.4597, utilization 0.8388, perplexity 2136.1422,
Train Epoch: [1/2] Iters:[1530/40036] transplant_loss 1.4197, rec_loss 0.0400, quant_error 0.4581, utilization 0.8383, perplexity 2131.6558,
Train Epoch: [1/2] Iters:[1540/40036] transplant_loss 1.4191, rec_loss 0.0400, quant_error 0.4558, utilization 0.8397, perplexity 2138.4119,
Train Epoch: [1/2] Iters:[1550/40036] transplant_loss 1.4149, rec_loss 0.0397, quant_error 0.4571, utilization 0.8391, perplexity 2140.6095,
Train Epoch: [1/2] Iters:[1560/40036] transplant_loss 1.4208, rec_loss 0.0404, quant_error 0.4582, utilization 0.8389, perplexity 2138.5974,
Train Epoch: [1/2] Iters:[1570/40036] transplant_loss 1.4354, rec_loss 0.0414, quant_error 0.4628, utilization 0.8413, perplexity 2151.7119,
Train Epoch: [1/2] Iters:[1580/40036] transplant_loss 1.4492, rec_loss 0.0421, quant_error 0.4664, utilization 0.8423, perplexity 2160.4552,
Train Epoch: [1/2] Iters:[1590/40036] transplant_loss 1.4469, rec_loss 0.0427, quant_error 0.4658, utilization 0.8405, perplexity 2153.2528,
Train Epoch: [1/2] Iters:[1600/40036] transplant_loss 1.4551, rec_loss 0.0432, quant_error 0.4667, utilization 0.8409, perplexity 2157.2455,
