Train Epoch: [1/5] Iters:[1500/10009] transplant_loss 1.9625, rec_loss 0.0385, quant_error 0.2198,
Train Epoch: [1/5] Iters:[1510/10009] transplant_loss 1.9574, rec_loss 0.0384, quant_error 0.2192,
Train Epoch: [1/5] Iters:[1520/10009] transplant_loss 1.9554, rec_loss 0.0389, quant_error 0.2190,
Train Epoch: [1/5] Iters:[1530/10009] transplant_loss 1.9560, rec_loss 0.0390, quant_error 0.2190,
Train Epoch: [1/5] Iters:[1540/10009] transplant_loss 1.9558, rec_loss 0.0385, quant_error 0.2190,
Train Epoch: [1/5] Iters:[1550/10009] transplant_loss 1.9542, rec_loss 0.0385, quant_error 0.2188,
Train Epoch: [1/5] Iters:[1560/10009] transplant_loss 1.9542, rec_loss 0.0383, quant_error 0.2188,
Train Epoch: [1/5] Iters:[1570/10009] transplant_loss 1.9534, rec_loss 0.0378, quant_error 0.2187,
Train Epoch: [1/5] Iters:[1580/10009] transplant_loss 1.9499, rec_loss 0.0375, quant_error 0.2183,
Train Epoch: [1/5] Iters:[1590/10009] transplant_loss 1.9457, rec_loss 0.0376, quant_error 0.2178,
Train Epoch: [1/5] Iters:[1600/10009] transplant_loss 1.9456, rec_loss 0.0377, quant_error 0.2178,
Train Epoch: [1/5] Iters:[1610/10009] transplant_loss 1.9446, rec_loss 0.0382, quant_error 0.2176,
Train Epoch: [1/5] Iters:[1620/10009] transplant_loss 1.9418, rec_loss 0.0384, quant_error 0.2173,
Train Epoch: [1/5] Iters:[1630/10009] transplant_loss 1.9392, rec_loss 0.0381, quant_error 0.2170,
Train Epoch: [1/5] Iters:[1640/10009] transplant_loss 1.9358, rec_loss 0.0386, quant_error 0.2166,
Train Epoch: [1/5] Iters:[1650/10009] transplant_loss 1.9302, rec_loss 0.0381, quant_error 0.2160,
Train Epoch: [1/5] Iters:[1660/10009] transplant_loss 1.9260, rec_loss 0.0375, quant_error 0.2156,
Train Epoch: [1/5] Iters:[1670/10009] transplant_loss 1.9300, rec_loss 0.0376, quant_error 0.2160,
Train Epoch: [1/5] Iters:[1680/10009] transplant_loss 1.9287, rec_loss 0.0375, quant_error 0.2159,
Train Epoch: [1/5] Iters:[1690/10009] transplant_loss 1.9318, rec_loss 0.0375, quant_error 0.2162,
Train Epoch: [1/5] Iters:[1700/10009] transplant_loss 1.9334, rec_loss 0.0375, quant_error 0.2164,
Train Epoch: [1/5] Iters:[1710/10009] transplant_loss 1.9349, rec_loss 0.0378, quant_error 0.2166,
Train Epoch: [1/5] Iters:[1720/10009] transplant_loss 1.9323, rec_loss 0.0381, quant_error 0.2163,
Train Epoch: [1/5] Iters:[1730/10009] transplant_loss 1.9334, rec_loss 0.0381, quant_error 0.2165,
Train Epoch: [1/5] Iters:[1740/10009] transplant_loss 1.9343, rec_loss 0.0383, quant_error 0.2166,
Train Epoch: [1/5] Iters:[1750/10009] transplant_loss 1.9357, rec_loss 0.0383, quant_error 0.2168,
Train Epoch: [1/5] Iters:[1760/10009] transplant_loss 1.9357, rec_loss 0.0385, quant_error 0.2167,
Train Epoch: [1/5] Iters:[1770/10009] transplant_loss 1.9357, rec_loss 0.0383, quant_error 0.2167,
Train Epoch: [1/5] Iters:[1780/10009] transplant_loss 1.9329, rec_loss 0.0384, quant_error 0.2164,
Train Epoch: [1/5] Iters:[1790/10009] transplant_loss 1.9272, rec_loss 0.0388, quant_error 0.2157,
Train Epoch: [1/5] Iters:[1800/10009] transplant_loss 1.9222, rec_loss 0.0388, quant_error 0.2152,
Train Epoch: [1/5] Iters:[1810/10009] transplant_loss 1.9185, rec_loss 0.0385, quant_error 0.2148,
Train Epoch: [1/5] Iters:[1820/10009] transplant_loss 1.9119, rec_loss 0.0383, quant_error 0.2141,
Train Epoch: [1/5] Iters:[1830/10009] transplant_loss 1.9089, rec_loss 0.0385, quant_error 0.2137,
Train Epoch: [1/5] Iters:[1840/10009] transplant_loss 1.9092, rec_loss 0.0378, quant_error 0.2138,
Train Epoch: [1/5] Iters:[1850/10009] transplant_loss 1.9104, rec_loss 0.0378, quant_error 0.2139,
Train Epoch: [1/5] Iters:[1860/10009] transplant_loss 1.9101, rec_loss 0.0379, quant_error 0.2138,
Train Epoch: [1/5] Iters:[1870/10009] transplant_loss 1.9086, rec_loss 0.0375, quant_error 0.2136,
Train Epoch: [1/5] Iters:[1880/10009] transplant_loss 1.9105, rec_loss 0.0375, quant_error 0.2139,
Train Epoch: [1/5] Iters:[1890/10009] transplant_loss 1.9084, rec_loss 0.0373, quant_error 0.2136,
Train Epoch: [1/5] Iters:[1900/10009] transplant_loss 1.9082, rec_loss 0.0374, quant_error 0.2136,
Train Epoch: [1/5] Iters:[1910/10009] transplant_loss 1.9062, rec_loss 0.0376, quant_error 0.2133,
Train Epoch: [1/5] Iters:[1920/10009] transplant_loss 1.9076, rec_loss 0.0380, quant_error 0.2135,
Train Epoch: [1/5] Iters:[1930/10009] transplant_loss 1.9060, rec_loss 0.0376, quant_error 0.2133,
Train Epoch: [1/5] Iters:[1940/10009] transplant_loss 1.9054, rec_loss 0.0381, quant_error 0.2132,
Train Epoch: [1/5] Iters:[1950/10009] transplant_loss 1.9022, rec_loss 0.0384, quant_error 0.2129,
Train Epoch: [1/5] Iters:[1960/10009] transplant_loss 1.9023, rec_loss 0.0384, quant_error 0.2129,
Train Epoch: [1/5] Iters:[1970/10009] transplant_loss 1.8991, rec_loss 0.0382, quant_error 0.2125,
Train Epoch: [1/5] Iters:[1980/10009] transplant_loss 1.8989, rec_loss 0.0384, quant_error 0.2125,
Train Epoch: [1/5] Iters:[1990/10009] transplant_loss 1.8992, rec_loss 0.0381, quant_error 0.2126,
Train Epoch: [1/5] Iters:[2000/10009] transplant_loss 1.8954, rec_loss 0.0379, quant_error 0.2122,
Train Epoch: [1/5] Iters:[2010/10009] transplant_loss 1.8908, rec_loss 0.0377, quant_error 0.2117,
Train Epoch: [1/5] Iters:[2020/10009] transplant_loss 1.8922, rec_loss 0.0382, quant_error 0.2118,
Train Epoch: [1/5] Iters:[2030/10009] transplant_loss 1.8911, rec_loss 0.0385, quant_error 0.2117,
Train Epoch: [1/5] Iters:[2040/10009] transplant_loss 1.8885, rec_loss 0.0384, quant_error 0.2114,
Train Epoch: [1/5] Iters:[2050/10009] transplant_loss 1.8909, rec_loss 0.0384, quant_error 0.2116,
Train Epoch: [1/5] Iters:[2060/10009] transplant_loss 1.8924, rec_loss 0.0382, quant_error 0.2118,
Train Epoch: [1/5] Iters:[2070/10009] transplant_loss 1.8906, rec_loss 0.0376, quant_error 0.2116,
Train Epoch: [1/5] Iters:[2080/10009] transplant_loss 1.8860, rec_loss 0.0377, quant_error 0.2110,
Train Epoch: [1/5] Iters:[2090/10009] transplant_loss 1.8852, rec_loss 0.0375, quant_error 0.2109,
Train Epoch: [1/5] Iters:[2100/10009] transplant_loss 1.8831, rec_loss 0.0375, quant_error 0.2107,
Train Epoch: [1/5] Iters:[2110/10009] transplant_loss 1.8829, rec_loss 0.0375, quant_error 0.2106,
Train Epoch: [1/5] Iters:[2120/10009] transplant_loss 1.8878, rec_loss 0.0379, quant_error 0.2112,
Train Epoch: [1/5] Iters:[2130/10009] transplant_loss 1.8915, rec_loss 0.0379, quant_error 0.2116,
Train Epoch: [1/5] Iters:[2140/10009] transplant_loss 1.8921, rec_loss 0.0380, quant_error 0.2117,
Train Epoch: [1/5] Iters:[2150/10009] transplant_loss 1.8898, rec_loss 0.0379, quant_error 0.2114,
Train Epoch: [1/5] Iters:[2160/10009] transplant_loss 1.8905, rec_loss 0.0383, quant_error 0.2116,
Train Epoch: [1/5] Iters:[2170/10009] transplant_loss 1.8838, rec_loss 0.0377, quant_error 0.2109,
Train Epoch: [1/5] Iters:[2180/10009] transplant_loss 1.8812, rec_loss 0.0377, quant_error 0.2106,
Train Epoch: [1/5] Iters:[2190/10009] transplant_loss 1.8783, rec_loss 0.0380, quant_error 0.2103,
Train Epoch: [1/5] Iters:[2200/10009] transplant_loss 1.8797, rec_loss 0.0376, quant_error 0.2104,
Train Epoch: [1/5] Iters:[2210/10009] transplant_loss 1.8718, rec_loss 0.0369, quant_error 0.2095,
Train Epoch: [1/5] Iters:[2220/10009] transplant_loss 1.8684, rec_loss 0.0369, quant_error 0.2091,
Train Epoch: [1/5] Iters:[2230/10009] transplant_loss 1.8656, rec_loss 0.0368, quant_error 0.2088,
Train Epoch: [1/5] Iters:[2240/10009] transplant_loss 1.8637, rec_loss 0.0366, quant_error 0.2086,
Train Epoch: [1/5] Iters:[2250/10009] transplant_loss 1.8568, rec_loss 0.0368, quant_error 0.2078,
Train Epoch: [1/5] Iters:[2260/10009] transplant_loss 1.8597, rec_loss 0.0371, quant_error 0.2081,
Train Epoch: [1/5] Iters:[2270/10009] transplant_loss 1.8604, rec_loss 0.0373, quant_error 0.2082,
Train Epoch: [1/5] Iters:[2280/10009] transplant_loss 1.8628, rec_loss 0.0375, quant_error 0.2085,
Train Epoch: [1/5] Iters:[2290/10009] transplant_loss 1.8643, rec_loss 0.0376, quant_error 0.2087,
