Train Epoch: [1/5] Iters:[660/20018] gen_loss 0.3268, rec_loss 0.0335, lpips_loss 0.2933, g_loss 0.2144, disc_weight 0.0000, disc_adaptive_weight 3.6931, d_loss 0.0000, logits_real -0.2109, logits_fake -0.2156,
Train Epoch: [1/5] Iters:[670/20018] gen_loss 0.3271, rec_loss 0.0333, lpips_loss 0.2939, g_loss 0.2133, disc_weight 0.0000, disc_adaptive_weight 3.7030, d_loss 0.0000, logits_real -0.2113, logits_fake -0.2154,
Train Epoch: [1/5] Iters:[680/20018] gen_loss 0.3272, rec_loss 0.0334, lpips_loss 0.2938, g_loss 0.2129, disc_weight 0.0000, disc_adaptive_weight 3.4028, d_loss 0.0000, logits_real -0.2107, logits_fake -0.2143,
Train Epoch: [1/5] Iters:[690/20018] gen_loss 0.3266, rec_loss 0.0334, lpips_loss 0.2932, g_loss 0.2118, disc_weight 0.0000, disc_adaptive_weight 3.3183, d_loss 0.0000, logits_real -0.2109, logits_fake -0.2134,
Train Epoch: [1/5] Iters:[700/20018] gen_loss 0.3258, rec_loss 0.0334, lpips_loss 0.2924, g_loss 0.2123, disc_weight 0.0000, disc_adaptive_weight 3.1601, d_loss 0.0000, logits_real -0.2086, logits_fake -0.2122,
Train Epoch: [1/5] Iters:[710/20018] gen_loss 0.3256, rec_loss 0.0336, lpips_loss 0.2921, g_loss 0.2114, disc_weight 0.0000, disc_adaptive_weight 3.0883, d_loss 0.0000, logits_real -0.2075, logits_fake -0.2106,
Train Epoch: [1/5] Iters:[720/20018] gen_loss 0.3242, rec_loss 0.0337, lpips_loss 0.2905, g_loss 0.2115, disc_weight 0.0000, disc_adaptive_weight 2.9991, d_loss 0.0000, logits_real -0.2062, logits_fake -0.2101,
Train Epoch: [1/5] Iters:[730/20018] gen_loss 0.3249, rec_loss 0.0339, lpips_loss 0.2910, g_loss 0.2109, disc_weight 0.0000, disc_adaptive_weight 3.1406, d_loss 0.0000, logits_real -0.2050, logits_fake -0.2104,
Train Epoch: [1/5] Iters:[740/20018] gen_loss 0.3259, rec_loss 0.0344, lpips_loss 0.2915, g_loss 0.2091, disc_weight 0.0000, disc_adaptive_weight 3.2167, d_loss 0.0000, logits_real -0.2047, logits_fake -0.2087,
Train Epoch: [1/5] Iters:[750/20018] gen_loss 0.3249, rec_loss 0.0341, lpips_loss 0.2908, g_loss 0.2092, disc_weight 0.0000, disc_adaptive_weight 3.3179, d_loss 0.0000, logits_real -0.2059, logits_fake -0.2078,
Train Epoch: [1/5] Iters:[760/20018] gen_loss 0.3249, rec_loss 0.0338, lpips_loss 0.2911, g_loss 0.2090, disc_weight 0.0000, disc_adaptive_weight 3.3485, d_loss 0.0000, logits_real -0.2074, logits_fake -0.2087,
Train Epoch: [1/5] Iters:[770/20018] gen_loss 0.3239, rec_loss 0.0335, lpips_loss 0.2904, g_loss 0.2088, disc_weight 0.0000, disc_adaptive_weight 3.2035, d_loss 0.0000, logits_real -0.2087, logits_fake -0.2084,
Train Epoch: [1/5] Iters:[780/20018] gen_loss 0.3228, rec_loss 0.0332, lpips_loss 0.2896, g_loss 0.2099, disc_weight 0.0000, disc_adaptive_weight 3.2442, d_loss 0.0000, logits_real -0.2100, logits_fake -0.2090,
Train Epoch: [1/5] Iters:[790/20018] gen_loss 0.3221, rec_loss 0.0330, lpips_loss 0.2891, g_loss 0.2096, disc_weight 0.0000, disc_adaptive_weight 3.1111, d_loss 0.0000, logits_real -0.2082, logits_fake -0.2090,
Train Epoch: [1/5] Iters:[800/20018] gen_loss 0.3230, rec_loss 0.0332, lpips_loss 0.2897, g_loss 0.2081, disc_weight 0.0000, disc_adaptive_weight 3.0337, d_loss 0.0000, logits_real -0.2090, logits_fake -0.2097,
