Train Epoch: [1/5] Iters:[530/20018] gen_loss 0.1643, rec_loss 0.0282, lpips_loss 0.1874, g_loss -0.0242, disc_weight 0.5000, disc_adaptive_weight 2.1122, d_loss 0.5937, logits_real 0.0250, logits_fake 0.0240,
Train Epoch: [1/5] Iters:[540/20018] gen_loss 0.1649, rec_loss 0.0286, lpips_loss 0.1877, g_loss -0.0238, disc_weight 0.5000, disc_adaptive_weight 2.1603, d_loss 0.5918, logits_real 0.0245, logits_fake 0.0236,
Train Epoch: [1/5] Iters:[550/20018] gen_loss 0.1667, rec_loss 0.0289, lpips_loss 0.1885, g_loss -0.0232, disc_weight 0.5000, disc_adaptive_weight 2.1985, d_loss 0.5901, logits_real 0.0239, logits_fake 0.0232,
Train Epoch: [1/5] Iters:[560/20018] gen_loss 0.1718, rec_loss 0.0288, lpips_loss 0.1896, g_loss -0.0229, disc_weight 0.5000, disc_adaptive_weight 2.0495, d_loss 0.5880, logits_real 0.0236, logits_fake 0.0229,
Train Epoch: [1/5] Iters:[570/20018] gen_loss 0.1706, rec_loss 0.0289, lpips_loss 0.1903, g_loss -0.0225, disc_weight 0.5000, disc_adaptive_weight 2.1620, d_loss 0.5856, logits_real 0.0233, logits_fake 0.0225,
Train Epoch: [1/5] Iters:[580/20018] gen_loss 0.1706, rec_loss 0.0286, lpips_loss 0.1897, g_loss -0.0221, disc_weight 0.5000, disc_adaptive_weight 2.1536, d_loss 0.5835, logits_real 0.0232, logits_fake 0.0224,
Train Epoch: [1/5] Iters:[590/20018] gen_loss 0.1722, rec_loss 0.0288, lpips_loss 0.1904, g_loss -0.0220, disc_weight 0.5000, disc_adaptive_weight 2.1342, d_loss 0.5818, logits_real 0.0231, logits_fake 0.0223,
Train Epoch: [1/5] Iters:[600/20018] gen_loss 0.1754, rec_loss 0.0281, lpips_loss 0.1899, g_loss -0.0214, disc_weight 0.5000, disc_adaptive_weight 1.9935, d_loss 0.5799, logits_real 0.0226, logits_fake 0.0217,
Train Epoch: [1/5] Iters:[610/20018] gen_loss 0.1700, rec_loss 0.0281, lpips_loss 0.1886, g_loss -0.0209, disc_weight 0.5000, disc_adaptive_weight 2.2425, d_loss 0.5769, logits_real 0.0220, logits_fake 0.0211,
Train Epoch: [1/5] Iters:[620/20018] gen_loss 0.1702, rec_loss 0.0283, lpips_loss 0.1882, g_loss -0.0206, disc_weight 0.5000, disc_adaptive_weight 2.2551, d_loss 0.5750, logits_real 0.0214, logits_fake 0.0207,
Train Epoch: [1/5] Iters:[630/20018] gen_loss 0.1712, rec_loss 0.0281, lpips_loss 0.1877, g_loss -0.0201, disc_weight 0.5000, disc_adaptive_weight 2.2214, d_loss 0.5731, logits_real 0.0209, logits_fake 0.0200,
Train Epoch: [1/5] Iters:[640/20018] gen_loss 0.1717, rec_loss 0.0278, lpips_loss 0.1870, g_loss -0.0193, disc_weight 0.5000, disc_adaptive_weight 2.2312, d_loss 0.5713, logits_real 0.0201, logits_fake 0.0192,
Train Epoch: [1/5] Iters:[650/20018] gen_loss 0.1723, rec_loss 0.0280, lpips_loss 0.1870, g_loss -0.0189, disc_weight 0.5000, disc_adaptive_weight 2.2554, d_loss 0.5695, logits_real 0.0194, logits_fake 0.0186,
Train Epoch: [1/5] Iters:[660/20018] gen_loss 0.1761, rec_loss 0.0280, lpips_loss 0.1873, g_loss -0.0181, disc_weight 0.5000, disc_adaptive_weight 2.1745, d_loss 0.5684, logits_real 0.0188, logits_fake 0.0181,
Train Epoch: [1/5] Iters:[670/20018] gen_loss 0.1779, rec_loss 0.0277, lpips_loss 0.1881, g_loss -0.0175, disc_weight 0.5000, disc_adaptive_weight 2.1704, d_loss 0.5677, logits_real 0.0182, logits_fake 0.0175,
Train Epoch: [1/5] Iters:[680/20018] gen_loss 0.1775, rec_loss 0.0277, lpips_loss 0.1883, g_loss -0.0170, disc_weight 0.5000, disc_adaptive_weight 2.2665, d_loss 0.5659, logits_real 0.0177, logits_fake 0.0170,
Train Epoch: [1/5] Iters:[690/20018] gen_loss 0.1762, rec_loss 0.0277, lpips_loss 0.1884, g_loss -0.0168, disc_weight 0.5000, disc_adaptive_weight 2.3703, d_loss 0.5641, logits_real 0.0174, logits_fake 0.0166,
